"Indicator","Component","Location","Result","Geographic Coverage","Period"
"Confirmed malaria cases fully investigated and classified","Malaria","Viet Nam","3,073","National","2018"
"Confirmed malaria cases fully investigated and classified","Malaria","Viet Nam","754","Subnational","2017"
"Confirmed malaria cases fully investigated and classified","Malaria","Zanzibar","3,092","National","2017"
"Confirmed malaria cases fully investigated and classified","Malaria","Zanzibar","3,216","National","2018"
"Confirmed malaria cases fully investigated and classified","Malaria","Zimbabwe","2,775","Subnational","2018"
"Confirmed malaria cases fully investigated and classified","Malaria","Zimbabwe","3,320","Subnational","2017"
"Mosquito nets distributed","Malaria","Afghanistan","1,315,083","National","2018"
"Mosquito nets distributed","Malaria","Afghanistan","2,372,354","National","2017"
"Mosquito nets distributed","Malaria","Angola","3,614,745","Subnational","2018"
"Mosquito nets distributed","Malaria","Angola","3,945,520","Subnational","2017"
"Mosquito nets distributed","Malaria","Bangladesh","2,242,527","National","2017"
"Mosquito nets distributed","Malaria","Bangladesh","1,559,423","Subnational","2018"
"Mosquito nets distributed","Malaria","Benin","6,549,876","National","2017"
"Mosquito nets distributed","Malaria","Bhutan","117,398","National","2017"
"Mosquito nets distributed","Malaria","Bolivia (Plurinational State)","84,225","National","2018"
"Mosquito nets distributed","Malaria","Bolivia (Plurinational State)","23,708","National","2017"
"Mosquito nets distributed","Malaria","Burkina Faso","1,107,447","National","2018"
"Mosquito nets distributed","Malaria","Burundi","6,714,636","National","2017"
"Mosquito nets distributed","Malaria","Cambodia","1,183,794","National","2017"
"Mosquito nets distributed","Malaria","Cambodia","1,597,639","National","2018"
"Mosquito nets distributed","Malaria","Cameroon","338,683","National","2017"
"Mosquito nets distributed","Malaria","Central African Republic","864,677","National","2017"
"Mosquito nets distributed","Malaria","Central African Republic","670,898","National","2018"
"Mosquito nets distributed","Malaria","Chad","6,886,684","National","2017"
"Mosquito nets distributed","Malaria","Chad","323,300","National","2018"
"Mosquito nets distributed","Malaria","Comoros","27,137","National","2017"
"Mosquito nets distributed","Malaria","Comoros","29,587","National","2018"
"Mosquito nets distributed","Malaria","Democratic Republic of Congo","15,530,041","Subnational","2018"
"Mosquito nets distributed","Malaria","Democratic Republic of Congo","7,245,462","Subnational","2017"
"Mosquito nets distributed","Malaria","Côte d'Ivoire","13,216,717","National","2017"
"Mosquito nets distributed","Malaria","Côte d'Ivoire","924,105","National","2018"
"Mosquito nets distributed","Malaria","Djibouti","60,409","National","2017"
"Mosquito nets distributed","Malaria","Eritrea","149,817","National","2018"
"Mosquito nets distributed","Malaria","Eritrea","1,728,475","National","2017"
"Mosquito nets distributed","Malaria","Ethiopia","3,884,472","National","2018"
"Mosquito nets distributed","Malaria","Gambia","1,051,391","National","2017"
"Mosquito nets distributed","Malaria","Gambia","174,992","National","2018"
"Mosquito nets distributed","Malaria","Ghana","17,038,705","National","2018"
"Mosquito nets distributed","Malaria","Guatemala","80,907","National","2017"
"Mosquito nets distributed","Malaria","Guatemala","389,805","National","2018"
"Mosquito nets distributed","Malaria","Guinea","660,861","National","2018"
"Mosquito nets distributed","Malaria","Guinea","484,425","National","2017"
"Mosquito nets distributed","Malaria","Guinea-Bissau","1,217,187","National","2017"
"Mosquito nets distributed","Malaria","Guinea-Bissau","90,395","National","2018"
"Mosquito nets distributed","Malaria","Guyana","43,181","National","2017"
"Mosquito nets distributed","Malaria","Haiti","1,384","National","2018"
"Mosquito nets distributed","Malaria","Haiti","695,804","Subnational","2017"
"Mosquito nets distributed","Malaria","Honduras","53,917","National","2018"
"Mosquito nets distributed","Malaria","Honduras","24,066","National","2017"
"Mosquito nets distributed","Malaria","India","26,106,825","Subnational","2017"
"Mosquito nets distributed","Malaria","Indonesia","2,347,408","National","2017"
"Mosquito nets distributed","Malaria","Indonesia","86,523","National","2018"
"Mosquito nets distributed","Malaria","Kenya","13,611,231","National","2017"
"Mosquito nets distributed","Malaria","Lao (Peoples Democratic Republic)","77,455","Subnational","2017"
"Mosquito nets distributed","Malaria","Lao (Peoples Democratic Republic)","30,776","National","2018"
"Mosquito nets distributed","Malaria","Liberia","2,519,640","National","2018"
"Mosquito nets distributed","Malaria","Liberia","157,773","National","2017"
"Mosquito nets distributed","Malaria","Madagascar","933,989","Subnational","2017"
"Mosquito nets distributed","Malaria","Madagascar","9,935,678","Subnational","2018"
"Mosquito nets distributed","Malaria","Malawi","11,581,832","National","2018"
"Mosquito nets distributed","Malaria","Mali","4,198,671","National","2017"
"Mosquito nets distributed","Malaria","Mali","2,731,253","National","2018"
"Mosquito nets distributed","Malaria","Mozambique","12,901,936","National","2017"
"Mosquito nets distributed","Malaria","Myanmar","4,059,579","Subnational","2017"
"Mosquito nets distributed","Malaria","Myanmar","776,365","National","2018"
"Mosquito nets distributed","Malaria","Nepal","451,776","National","2017"
"Mosquito nets distributed","Malaria","Nepal","655,215","National","2018"
"Mosquito nets distributed","Malaria","Nicaragua","47,301","National","2018"
"Mosquito nets distributed","Malaria","Nicaragua","20,392","National","2017"
"Mosquito nets distributed","Malaria","Niger","4,302,520","National","2017"
"Mosquito nets distributed","Malaria","Niger","4,040,602","National","2018"
"Mosquito nets distributed","Malaria","Nigeria","27,017,164","National","2018"
"Mosquito nets distributed","Malaria","Nigeria","18,060,419","Subnational","2017"
"Mosquito nets distributed","Malaria","Oceania","91,028","National","2017"
"Mosquito nets distributed","Malaria","Oceania","27,151","National","2018"
"Mosquito nets distributed","Malaria","Pakistan","3,687,410","Subnational","2018"
"Mosquito nets distributed","Malaria","Pakistan","869,173","National","2017"
"Mosquito nets distributed","Malaria","Papua New Guinea","1,219,618","National","2018"
"Mosquito nets distributed","Malaria","Papua New Guinea","1,694,315","National","2017"
"Mosquito nets distributed","Malaria","Philippines","338,824","National","2018"
"Mosquito nets distributed","Malaria","Philippines","1,126,494","National","2017"
"Mosquito nets distributed","Malaria","Sao Tome and Principe","15,151","National","2017"
"Mosquito nets distributed","Malaria","Sao Tome and Principe","143,150","National","2018"
"Mosquito nets distributed","Malaria","Senegal","325,991","National","2018"
"Mosquito nets distributed","Malaria","Sierra Leone","4,616,962","National","2017"
"Mosquito nets distributed","Malaria","Sierra Leone","245,744","National","2018"
"Mosquito nets distributed","Malaria","Somalia","2,566,948","National","2017"
"Mosquito nets distributed","Malaria","Somalia","357,569","National","2018"
"Mosquito nets distributed","Malaria","South Sudan","564,071","National","2018"
"Mosquito nets distributed","Malaria","South Sudan","1,841,086","National","2017"
"Mosquito nets distributed","Malaria","Sudan","5,741,449","National","2017"
"Mosquito nets distributed","Malaria","Sudan","3,315,813","Subnational","2018"
"Mosquito nets distributed","Malaria","Suriname","6,022","Subnational","2017"
"Mosquito nets distributed","Malaria","United Republic of Tanzania","3,042,702","Subnational","2017"
"Mosquito nets distributed","Malaria","United Republic of Tanzania","5,734,805","Subnational","2018"
"Mosquito nets distributed","Malaria","Thailand","93,658","National","2018"
"Mosquito nets distributed","Malaria","Thailand","1,017,766","National","2017"
"Mosquito nets distributed","Malaria","Timor-Leste","39,904","National","2018"
"Mosquito nets distributed","Malaria","Timor-Leste","334,471","National","2017"
"Mosquito nets distributed","Malaria","Togo","221,581","National","2018"
"Mosquito nets distributed","Malaria","Togo","4,631,834","National","2017"
"Mosquito nets distributed","Malaria","Uganda","2,020,730","National","2018"
"Mosquito nets distributed","Malaria","Uganda","23,399,302","National","2017"
"Mosquito nets distributed","Malaria","Viet Nam","1,443,000","National","2017"
"Mosquito nets distributed","Malaria","Western Asia","415,763","National","2017"
"Mosquito nets distributed","Malaria","Western Asia","2,122,902","National","2018"
"Mosquito nets distributed","Malaria","Zambia","6,034,157","National","2017"
"Mosquito nets distributed","Malaria","Zambia","476,055","National","2018"
"Mosquito nets distributed","Malaria","Zanzibar","177,794","National","2018"
"Mosquito nets distributed","Malaria","Zimbabwe","1,165,462","National","2018"
"Mosquito nets distributed","Malaria","Zimbabwe","294,350","National","2017"
"Households covered by indoor residual spraying","Malaria","Botswana","73,059","National","2018"
"Households covered by indoor residual spraying","Malaria","Botswana","73,547","National","2017"
"Households covered by indoor residual spraying","Malaria","Burundi","119,321","Subnational","2017"
"Households covered by indoor residual spraying","Malaria","Cape Verde","105,114","National","2017"
"Households covered by indoor residual spraying","Malaria","El Salvador","3,686","National","2017"
"Households covered by indoor residual spraying","Malaria","El Salvador","2,610","National","2018"
"Households covered by indoor residual spraying","Malaria","Eritrea","116,776","National","2018"
"Households covered by indoor residual spraying","Malaria","Eritrea","121,509","National","2017"
"Households covered by indoor residual spraying","Malaria","Eswatini","31,444","National","2018"
"Households covered by indoor residual spraying","Malaria","Ethiopia","1,989,818","National","2018"
"Households covered by indoor residual spraying","Malaria","Ethiopia","3,214,963","National","2017"
"Households covered by indoor residual spraying","Malaria","Gambia","53,348","National","2018"
"Households covered by indoor residual spraying","Malaria","Gambia","49,568","National","2017"
"Households covered by indoor residual spraying","Malaria","Ghana","191,109","Subnational","2018"
"Households covered by indoor residual spraying","Malaria","Honduras","52,480","National","2018"
"Households covered by indoor residual spraying","Malaria","Honduras","39,247","National","2017"
"Households covered by indoor residual spraying","Malaria","Iran (Islamic Republic)","126,111","National","2017"
"Households covered by indoor residual spraying","Malaria","Korea (Democratic Peoples Republic)","295,480","National","2018"
"Households covered by indoor residual spraying","Malaria","Mozambique","935,862","National","2018"
"Households covered by indoor residual spraying","Malaria","Mozambique","978,281","National","2017"
"Households covered by indoor residual spraying","Malaria","Rwanda","639,932","Subnational","2017"
"Households covered by indoor residual spraying","Malaria","Rwanda","499,652","Subnational","2018"
"Households covered by indoor residual spraying","Malaria","Sao Tome and Principe","37,455","National","2018"
"Households covered by indoor residual spraying","Malaria","Sao Tome and Principe","27,065","National","2017"
"Households covered by indoor residual spraying","Malaria","Sudan","727,967","Subnational","2018"
"Households covered by indoor residual spraying","Malaria","Sudan","1,439,547","National","2017"
"Households covered by indoor residual spraying","Malaria","Timor-Leste","14,014","National","2018"
"Households covered by indoor residual spraying","Malaria","Zambia","1,775,301","National","2017"
"Households covered by indoor residual spraying","Malaria","Zambia","1,596,898","National","2018"
"Households covered by indoor residual spraying","Malaria","Zanzibar","67,450","National","2018"
"Households covered by indoor residual spraying","Malaria","Zanzibar","38,884","Subnational","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Afghanistan","1,048,242","National","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Afghanistan","1,143,108","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Angola","11,650,141","Subnational","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Angola","14,556,370","Subnational","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Bangladesh","986,442","National","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Bangladesh","1,201,846","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Benin","615,619","Subnational","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Benin","171,963","National","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Bolivia (Plurinational State)","113,057","Subnational","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Bolivia (Plurinational State)","153,978","Subnational","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Botswana","2,622","National","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Botswana","6,933","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Burkina Faso","8,798,054","National","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Burkina Faso","9,702,954","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Burundi","10,060,448","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Burundi","12,300,771","Subnational","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Cape Verde","9,588","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Cape Verde","16,573","National","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Cambodia","278,266","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Cambodia","343,075","National","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Cameroon","2,128,082","National","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Cameroon","3,518,453","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Central African Republic","1,346,224","Subnational","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Central African Republic","1,375,337","Subnational","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Chad","1,962,673","Subnational","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Chad","1,881,312","National","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Comoros","185,940","National","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Comoros","239,865","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Democratic Republic of Congo","13,730,094","Subnational","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Democratic Republic of Congo","15,844,984","Subnational","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Côte d'Ivoire","6,508,048","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Côte d'Ivoire","3,271,763","Subnational","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Djibouti","75,594","National","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Djibouti","104,800","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Eswatini","18,412","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Ethiopia","5,889,896","National","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Ethiopia","3,826,907","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Gambia","649,764","National","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Gambia","749,062","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Ghana","7,113,626","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Ghana","8,902,711","National","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Guatemala","627,401","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Guatemala","372,158","National","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Guinea","2,134,910","National","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Guinea","2,606,389","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Guinea-Bissau","462,567","National","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Guinea-Bissau","469,336","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Guyana","94,546","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Haiti","276,803","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Haiti","322,400","National","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Honduras","128,732","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","India","11,274,034","Subnational","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Indonesia","1,196,058","Subnational","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Indonesia","1,575,471","Subnational","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Kenya","308,559","Subnational","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Korea (Democratic Peoples Republic)","2,343","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Korea (Democratic Peoples Republic)","14,492","National","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Lao (Peoples Democratic Republic)","287,299","National","2018"
"Suspected malaria cases that received a parasitological test","Malaria","Lao (Peoples Democratic Republic)","254,791","National","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Liberia","1,794,810","Subnational","2017"
"Suspected malaria cases that received a parasitological test","Malaria","Liberia","1,848,060","Subnational","2018"
